"word","score","n"
"commitment",2,1
"complain",-2,1
"costly",-2,1
"creative",2,1
"crisis",-3,1
"cutting",-1,1
"death",-2,1
"delights",3,1
"depressing",-2,1
"desire",1,1
"desperate",-3,1
"destroy",-3,1
"destroyed",-3,1
"dick",-4,1
"disappeared",-1,1
"disappointment",-2,1
"doubt",-1,1
"douche",-3,1
"douchebag",-3,1
"dreams",1,1
"dumbass",-3,1
"empty",-1,1
"encouraged",2,1
"enjoy",2,1
"enjoying",2,1
"enrage",-2,1
"error",-2,1
"escape",-1,1
"excite",3,1
"exciting",3,1
"exclusive",2,1
"excuse",-1,1
"fabulous",4,1
"fair",2,1
"fascinating",3,1
"fired",-2,1
"flops",-2,1
"focused",2,1
"forget",-1,1
"fraud",-4,1
"freedom",2,1
"ftw",3,1
"fucked",-4,1
"furious",-3,1
"glad",3,1
"glory",2,1
"goodness",3,1
"grand",3,1
"grant",1,1
"granted",1,1
"guilt",-3,1
"ha",2,1
"hated",-3,1
"heaven",2,1
"helping",2,1
"hiding",-1,1
"honest",2,1
"horrible",-3,1
"idiot",-3,1
"ignorance",-2,1
"ill",-2,1
"impatient",-2,1
"impotent",-2,1
"increase",1,1
"increased",1,1
"indecisive",-2,1
"insecure",-2,1
"interrupting",-2,1
"jackass",-4,1
"jeopardy",-2,1
"jerk",-3,1
"jesus",1,1
"joy",3,1
"justice",2,1
"killing",-3,1
"laughing",1,1
"laughs",1,1
"launched",1,1
"legally",1,1
"liar",-3,1
"likes",2,1
"loving",2,1
"matter",1,1
"mercy",2,1
"misery",-2,1
"missing",-2,1
"mistake",-2,1
"mistakes",-2,1
"mocking",-2,1
"moody",-1,1
"moron",-3,1
"motherfucker",-5,1
"nervous",-2,1
"noble",2,1
"odd",-2,1
"offended",-2,1
"panic",-3,1
"pathetic",-2,1
"piss",-4,1
"powerful",2,1
"prevents",-1,1
"prison",-2,1
"propaganda",-2,1
"questioning",-1,1
"racism",-3,1
"reach",1,1
"reaching",1,1
"rebellion",-2,1
"regret",-2,1
"reject",-1,1
"rejected",-1,1
"rewards",2,1
"rich",2,1
"ridiculous",-3,1
"ruin",-2,1
"sappy",-1,1
"saved",2,1
"scared",-2,1
"scream",-2,1
"shame",-2,1
"share",1,1
"shitty",-3,1
"sick",-2,1
"smiling",2,1
"solution",1,1
"solutions",1,1
"stopped",-1,1
"strange",-1,1
"successful",3,1
"suck",-3,1
"suffering",-2,1
"suing",-2,1
"supporters",1,1
"supporting",1,1
"supports",2,1
"survivor",2,1
"tears",-2,1
"tits",-2,1
"torn",-2,1
"triumph",4,1
"trouble",-2,1
"unaware",-2,1
"unhealthy",-2,1
"unworthy",-2,1
"upset",-2,1
"victim",-3,1
"vulnerable",-2,1
"warning",-3,1
"weak",-2,1
"wins",4,1
"wishing",1,1
"woo",3,1
"worried",-3,1
"worrying",-3,1
"worse",-3,1
"wreck",-2,1
